Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
University of St. Thomas,Minnesota,Resident Advisor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
University of St. Thomas,Wisconsin,Program Manager,Education - University,5. Education & Academia,"Oversees multiple related projects, aligning them with organizational strategy and goals.",Management & Leadership
University of St. Thomas,Minnesota,Mailroom Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of St. Thomas,Minnesota,Laboratory Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Research & Science
University of St. Thomas,Minnesota,Statistical Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Data & Analytics
University of St. Thomas,Minnesota,Website/Social Media Coordinator,Education - University,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Marketing & Communications
University of St. Thomas,Minnesota,Student Director,Education - University,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
University of St. Thomas,Minnesota,Student Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
University of St. Thomas,Minnesota,,Education - University,5. Education & Academia,,Other
University of St. Thomas,Minnesota,Assistant to the President,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Management & Leadership
University of St. Thomas,Minnesota,Sports Medicine Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of St. Thomas,Minnesota,Laboratory Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Research & Science
University of St. Thomas,Minnesota,Psychology Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
University of St. Thomas,Minnesota,Volunteer Coordinator,Education - University,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Education & Teaching
University of St. Thomas,Minnesota,Experience Coordinator,Education - University,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Education & Teaching
University of St. Thomas,Minnesota,Service Excellence Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
University of St. Thomas,Minnesota,Laboratory Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Research & Science
University of St. Thomas,Minnesota,Mailroom Specialist,Education - University,5. Education & Academia,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Education & Teaching
University of St. Thomas,Minnesota,Resident Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of St. Thomas,Minnesota,Office Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Administrative & Support
University of St. Thomas,Minnesota,Print Graphic Designer,Education - University,5. Education & Academia,"Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping.",Marketing & Communications
University of St. Thomas,Minnesota,Research Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Research & Science
University of St. Thomas,Minnesota,Music Educator,Education - University,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
University of St. Thomas,Minnesota,Statistics Teaching Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of St. Thomas,Minnesota,Laboratory Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Research & Science
University of St. Thomas,Minnesota,Study Abroad Peer Advisor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
University of St. Thomas,Minnesota,Math Tutor,Education - University,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
University of St. Thomas,Minnesota,System Operator,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
University of St. Thomas,Minnesota,,Education - University,5. Education & Academia,,Other
University of St. Thomas,Minnesota,,Education - University,5. Education & Academia,,Other
University of St. Thomas,Minnesota,Peer Health Educator,Education - University,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
University of St. Thomas,Minnesota,Resident Advisor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
University of St. Thomas,Minnesota,Student-Athlete Mentor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
University of St. Thomas,South Dakota,Study Group Leader,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
University of St. Thomas,Minnesota,Study Abroad Peer Advisor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
University of St. Thomas,Minnesota,Resident Advisor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
University of St. Thomas,Indiana,,Education - University,5. Education & Academia,,Other
University of St. Thomas,Minnesota,Adjunct Professor,Education - University,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
University of St. Thomas,Minnesota,Systems Analyst,Education - University,5. Education & Academia,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Software & IT
University of St. Thomas,Minnesota,Investment Analyst,Education - University,5. Education & Academia,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
University of St. Thomas,Minnesota,,Education - University,5. Education & Academia,,Other
University of St. Thomas,Minnesota,Adjunct Faculty,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
University of St. Thomas,Minnesota,Business Operations Program Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
University of St. Thomas,Minnesota,Assistant Track and Field Coach,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of St. Thomas,Minnesota,Business Analyst,Education - University,5. Education & Academia,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions.",Education & Teaching
University of St. Thomas,Minnesota,Master Software Engineer,Education - University,5. Education & Academia,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
University of St. Thomas,Pennsylvania,Director of Project Management,Education - University,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
University of St. Thomas,Minnesota,Planning Committee Member,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
University of St. Thomas,Texas,Social Events Coordinator,Education - University,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Education & Teaching
University of St. Thomas,Minnesota,Campus Director,Education - University,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
University of Wisconsin System,Wisconsin,Assistant Professor,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
University of Wisconsin System,Minnesota,,Education - University,5. Education & Academia,,Other
Urban Outfitters,Minnesota,Product Specialist,Retail - Apparel,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Urban Ventures,Minnesota,Teacher,Nonprofit - Community Development,6. Government & Public Service,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
US Attorney's Office,Minnesota,Paralegal,Government - Federal Law,6. Government & Public Service,"Assists attorneys with legal research, document preparation, case management, and trial preparation.",Legal
US Bank,Minnesota,Safety Coordinator,Financial Services - Banking,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Operations & Supply Chain
US Bank,Minnesota,Wealth Management Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
US Bank,Minnesota,,Financial Services - Banking,3. Financial Services & Insurance,,Other
US Bank,Minnesota,,Financial Services - Banking,3. Financial Services & Insurance,,Other
US Bank,Minnesota,Human Resources Coordinator,Financial Services - Banking,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Human Resources
US Bank,Minnesota,,Financial Services - Banking,3. Financial Services & Insurance,,Other
US Bank,Minnesota,Tax Accountant,Financial Services - Banking,3. Financial Services & Insurance,"Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy.",Finance & Accounting
US Bank,Minnesota,Project Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
US Bank,Minnesota,Business Banking Assistant,Financial Services - Banking,3. Financial Services & Insurance,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
US Bank,Minnesota,Assistant Vice President,Financial Services - Banking,3. Financial Services & Insurance,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Management & Leadership
US Bank,Wisconsin,Marketing Specialist,Financial Services - Banking,3. Financial Services & Insurance,"Develops and executes marketing strategies, campaigns, and promotional activities.",Marketing & Communications
US Bank,Minnesota,,Financial Services - Banking,3. Financial Services & Insurance,,Other
Va Medical Center,Minnesota,Social Worker,Healthcare - VA Hospital,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being.",Healthcare & Clinical
Valbridge Property Advisors,Minnesota,Appraisal Analyst,Real Estate - Appraisal,"10. Construction, Engineering & Real Estate","Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Valley Medical,Minnesota,Medical Assistant,Healthcare - Medical Practice,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
Valtinson Financial Group,Minnesota,Tax Associate,Financial Services - Insurance,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
Vanda Counseling and Psycholog,Minnesota,Psychotherapist,Healthcare - Counseling,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Vector Marketing,Minnesota,Sales Representative,Professional Services,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Sales & Business Development
Veritas Technologies,Minnesota,Software Engineer,Technology - Data Management,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Villages of Lonsdale,Minnesota,Personal Care Assistant,Real Estate - Property Management,"10. Construction, Engineering & Real Estate","Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
Viracon,Minnesota,Engineering Manager,Manufacturing - Architectural Glass,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Engineering
Vita Group Limited,Minnesota,Engineer,Technology - Telecom Retail,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Voyage Wealth Architects,Minnesota,Financial Planning Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Vp Groundforce,Minnesota,,Construction - Ground Engineering,"10. Construction, Engineering & Real Estate",,Other
Waconia Public Schools,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Wagner College,New York,Professor,Education - University,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Walker Methodist,Minnesota,Resident Aide,Nonprofit - Senior Living,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
"Walleye Capital Partners, LP",Minnesota,Compliance Analyst,Financial Services - Investment Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Walmart,Minnesota,Cashier,Retail - Mass Merchandise,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Walmart,Minnesota,,Retail - Mass Merchandise,8. Retail & Consumer Products,,Other
Wartsila,Minnesota,Solutions Engineer,Manufacturing - Marine & Energy Equipment,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Washburn Center For Children,Minnesota,Day Treatment Therapist,Nonprofit - Children's Mental Health,6. Government & Public Service,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes.",Healthcare & Clinical
Waukee Community School District,Iowa,Vocal Music Director,Education - K-12 Public School,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Design & Creative
Wavemed,Minnesota,Clinical Research Associate,Healthcare - Medical Devices,2. Healthcare & Medical,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Healthcare & Clinical
Wayzata Public Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
WCCO-TV,Minnesota,Digital Content Producer,Media - Television News,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Wells Fargo,Minnesota,Data Engineer,Financial Services - Banking,3. Financial Services & Insurance,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis.",Data & Analytics
Wells Fargo,Minnesota,Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making.",Finance & Accounting
Wells Fargo,Minnesota,Financial Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Wells Fargo,Minnesota,Product Manager,Financial Services - Banking,3. Financial Services & Insurance,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products.",Management & Leadership
Wells Fargo,Minnesota,Lead Business Consultant,Financial Services - Banking,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Wentzel Wealth Management,Minnesota,Owner,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
West St. Paul - Mendota Heights Independent School District 197,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Western National Insurance,Minnesota,Support Specialist,Financial Services - Insurance,3. Financial Services & Insurance,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Finance & Accounting
Westwood Professional Services,Minnesota,Staff Design Engineer,Engineering - Civil & Surveying,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Westwood Professional Services,Minnesota,Transmission Engineer,Engineering - Civil & Surveying,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
When I Work,Minnesota,Full Stack Engineer,Technology - Workforce Management Software,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
White Bear Yacht Club,Minnesota,Lead Server,Hospitality - Country Club,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Management & Leadership
White Cap International,Minnesota,Career Development Manager,Construction - Supplies Distribution,"10. Construction, Engineering & Real Estate","Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Wilderness Inquiry,Minnesota,Communications Coordinator,Nonprofit - Outdoor Education,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Marketing & Communications
Williams,Michigan,Mechanical Engineer,Energy - Natural Gas Infrastructure,9. Energy & Utilities,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Willis Towers Watson,Minnesota,Benefits Analyst,Financial Services - Insurance & Advisory,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Human Resources
Wings Credit Union,Minnesota,Financial Advisor,Financial Services - Credit Union,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Winona Health,Minnesota,Director of Finance,Healthcare - Hospital,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Finance & Accounting
Wipfli,Minnesota,Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time.",Finance & Accounting
WMDT-TV,Maryland,Reporter,Media - Television News,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Marketing & Communications
Women of Color On The Move,Minnesota,Web Developer,Nonprofit - Women's Empowerment,6. Government & Public Service,Builds and maintains websites and web applications using programming languages and frameworks.,Software & IT
Wr Medical Electronics,Minnesota,Neurophysiologist,Healthcare - Medical Devices,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Wsb Engineering Group,Minnesota,Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Wsb Engineering Group,Minnesota,Water Resources Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Wunderlich-Malec Engineering,Minnesota,Buyer,Manufacturing - Systems Engineering,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Operations & Supply Chain
Xcel Energy,Minnesota,Electric Distribution Engineer,Energy - Electric Utility,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Xcel Energy,Minnesota,Launch Manager,Energy - Electric Utility,9. Energy & Utilities,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Xcel Energy,Minnesota,Management Engineer,Energy - Electric Utility,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Xcel Energy,Minnesota,Substation Engineer,Energy - Electric Utility,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Yahoo,Minnesota,Executive,Technology - Internet Media,1. Technology & Software,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes.",Software & IT
Yellow Brick Road,Minnesota,Social Media Manager,Retail - Children's Toys,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Marketing & Communications
YMCA,Minnesota,Lifeguard,Nonprofit - Community & Fitness,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
YNTO Productions,Colorado,,Media - Video Production,8. Retail & Consumer Products,,Other
Zeiss Industrial Metrology,Minnesota,Software Engineer,Manufacturing - Precision Measurement,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
,Minnesota,Digital Marketing Specialist,Unknown,Other,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Marketing & Communications
,Minnesota,Assistant Director,Unknown,Other,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
,Minnesota,Director of Operations,Unknown,Other,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Operations & Supply Chain
,Minnesota,Au Pair,Unknown,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Other
,Indiana,Salesperson,Unknown,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Other
Schaumburg Boomers,Illinois,Graphic Design and Media Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Marketing & Communications
,Minnesota,Assistant to the Chair,Unknown,Other,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Other
,Wisconsin,Teacher,Unknown,Other,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
,Minnesota,Day Trader,Unknown,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Other
,Wisconsin,Video Editor,Unknown,Other,"Creates, edits, and manages written content across various platforms and media channels.",Marketing & Communications
,Minnesota,Business Intelligence Analyst,Unknown,Other,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Data & Analytics
3M,Minnesota,Research chemist,Diversified Technology & Manufacturing,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Research & Science
3M,Wisconsin,Sr Operations Manager,Diversified Technology & Manufacturing,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
3M,Minnesota,Design Systems Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
3Play Media,Minnesota,,Technology - Media Accessibility,1. Technology & Software,,Other
Abbott Northwestern Hospital,,,Healthcare - Hospital,2. Healthcare & Medical,,Other
Adobe,Minnesota,Social & Creative Strategist,Technology - Software,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Aeon,Minnesota,Executive Vice President of Operations,Nonprofit - Affordable Housing,6. Government & Public Service,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes.",Operations & Supply Chain
AKF Group,Minnesota,Mechanical Engineer,Engineering - MEP,"10. Construction, Engineering & Real Estate","Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
ALCIVIA,Wisconsin,Inside Sales and Business Intelligence Specialist,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Data & Analytics
"Algorithm, Inc.",,Consultant,Technology - Software,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Alliant Engineering,Minnesota,Graduate Transportation Engineer,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Allina Health,Minnesota,Registered Nurse,Healthcare - Hospital System,2. Healthcare & Medical,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being.",Healthcare & Clinical
Allina Health,Minnesota,RN,Healthcare - Hospital System,2. Healthcare & Medical,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being.",Healthcare & Clinical
Allina Health,Minnesota,Registered Nurse,Healthcare - Hospital System,2. Healthcare & Medical,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being.",Healthcare & Clinical
Allina Health,Minnesota,Manager,Healthcare - Hospital System,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Altafid,,Business Analyst,Financial Services - Fintech,3. Financial Services & Insurance,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions.",Finance & Accounting
Amazon,Minnesota,Area Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
American Airlines,Minnesota,Flight Attendant,Transportation - Airlines,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Ameriprise Financial,Minnesota,Vice President technology,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Management & Leadership
Ameriprise Financial,Minnesota,Leadership Development Program,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Ameriprise Financial,Minnesota,Advisor In training,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Andersen Corp.,Minnesota,Finance Rotational Analyst,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Anoka Hennepin School District,Minnesota,Special education teacher ABS,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Anoka Hennepin School District,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Avant Energy,Minnesota,Energy Program Specialist,Energy - Utility Services,9. Energy & Utilities,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Management & Leadership
Avtec,Minnesota,HR Generalist,Technology - Dispatch Communications,1. Technology & Software,Manages employment-related functions—from recruitment and benefits administration to employee relations and compliance.,Human Resources
Baker Tilly,Minnesota,Tax associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
Banner Engineering,Minnesota,Production Control Analyst,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
BarnCo,Minnesota,Chief Enabler,Retail - Farm Supplies,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Management & Leadership
BDO,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
Beecroft Marketing and Event ms,Minnesota,Web Manager,Marketing - Event Marketing,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Bellmont Partners,Minnesota,Account Coordinator,Marketing - PR Agency,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Sales & Business Development
Bill Zych,Minnesota,Assistant Student Librarian,Self-Employed,Other,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Other
BMS Group,Minnesota,Accounting and Claims Analyst,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Bolton and Menk,Minnesota,Civil Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Plans, designs, and oversees construction of infrastructure projects like roads, bridges, and buildings.",Engineering
