Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Paul & Sheila Wellstone Elementary,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Paylocity,Minnesota,Support Programmer,Technology - HR & Payroll Software,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
PCR Financial Aggregation,Minnesota,Personal Care Attendant,Financial Services - Financial Data,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Pentair,Minnesota,Production Control Analyst,Industrial - Water Treatment,Other,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Perficient,Minnesota,Technical Consultant,Technology - Digital Consulting,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Perforce Software,Minnesota,Marketing Specialist,Technology - DevOps Software,1. Technology & Software,"Develops and executes marketing strategies, campaigns, and promotional activities."
Perforce Software,Minnesota,Renewal Specialist,Technology - DevOps Software,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Petroleum Coke Industries Company,Minnesota,Associate Consultant,Energy - Petroleum,9. Energy & Utilities,"Provides analysis and recommendations to clients on business strategy, operations, or technology."
PetSmart,Minnesota,Pet Specialist,Retail - Pet Supplies,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Pfizer,California,Solutions Engineer,Healthcare - Pharmaceuticals,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Pfm Integrators,Minnesota,Controls Engineer,Technology - AV Integration,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Pga Tour,Minnesota,Caddie,Entertainment - Professional Golf,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Phdata,Minnesota,Business Architect,Technology - Cloud & Data Engineering,1. Technology & Software,"Designs structures, systems, or software architectures by applying established principles, codes, and industry standards."
Philips,Minnesota,Research and Development Engineer,Healthcare - Medical Technology & Consumer Electronics,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Photography by Selah Grace,Minnesota,Photographer,Professional Services - Photography,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Physical Electronics,Minnesota,Principal Software Engineer,Manufacturing - Surface Analysis Equipment,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Pine City Public Schools Isd 578,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Pinnacle Corporate Services Limited,Minnesota,Case Manager,Professional Services - Corporate Services,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Piper Sandler,Minnesota,Equity Research Associate,Financial Services - Investment Banking,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Piper Sandler,Minnesota,Healthcare Investment Banking Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Piper Sandler,Minnesota,Business and Technology Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Plante Moran,Colorado,State and Local Tax Manager,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Stryker,Illinois,Site Specialist,Healthcare - Medical Devices,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
PNC,Minnesota,Infrastructure Support Engineer,Financial Services - Banking,3. Financial Services & Insurance,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Polaris,Minnesota,Dealer Support Specialist,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Polaris,Minnesota,International Marketing Manager,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Polaris,Minnesota,Program Manager,Manufacturing - Powersports Vehicles,4. Manufacturing & Industrial,"Oversees multiple related projects, aligning them with organizational strategy and goals."
Portu Sunberg,Minnesota,Account Coordinator,Professional Services,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Post Consumer Brands,Minnesota,Product Change Manager,Manufacturing - Food - Cereal,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Power Design,Florida,Estimator Associate,Construction - Electrical,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Power Engineers,Missouri,Engineer,Engineering - Energy,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Pratt & Whitney,Minnesota,Materials Manager,Manufacturing - Aerospace Engines,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Praying Pelican Missions,Minnesota,Director of Organizational Development,Nonprofit - Mission Organization,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Pre-Health Shadowing,Minnesota,,Education - Pre-Health,5. Education & Academia,
Presbyterian Homes,Minnesota,Resident Assistant,Nonprofit - Senior Living,6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Prevent Biometrics,Minnesota,Manufacturing,Healthcare - Sports Safety Technology,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
PricewaterhouseCoopers,Minnesota,Auditor,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Reviews financial records and operational procedures to verify accuracy, ensure regulatory compliance, and mitigate risk."
PricewaterhouseCoopers,Minnesota,Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,Entry-level professional who supports senior team members in various business functions.
Synchrony,Illinois,Omni-Channel Analyst,Financial Services - Consumer Finance,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
PricewaterhouseCoopers,Minnesota,Tax Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
PricewaterhouseCoopers,Minnesota,Solutions Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
PricewaterhouseCoopers,Minnesota,Cybersecurity Risk Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Prime Therapeutics,Minnesota,New Account Installation Specialist,Healthcare - Pharmacy Benefits,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Prime Therapeutics,Minnesota,Corporate Communications Manager,Healthcare - Pharmacy Benefits,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Private Family Office,Minnesota,Nanny,Financial Services - Family Office,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Process Logic,Minnesota,Mechanical Design Engineer,Technology - IT Services,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Prosperwell Financial,Minnesota,Marketing Associate,Financial Services - Financial Planning,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Prudential Financial,Wisconsin,Actuary,Financial Services - Insurance & Investment,3. Financial Services & Insurance,"Applies statistical methods to model and assess risk, informing pricing and policy decisions in insurance and finance."
Punch Through Design,Minnesota,Embedded Software Engineer,Technology - Bluetooth/IoT,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Punch Through Design,Minnesota,Software Engineer,Technology - Bluetooth/IoT,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Q Consulting,Minnesota,Human Resources Project Manager,Professional Services - IT Consulting,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Qualitru Sampling Systems,Minnesota,Accountant,Manufacturing - Dairy Sampling,4. Manufacturing & Industrial,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
Quantum Steam Academy,Minnesota,Behavior Interventionist,Education - Charter School,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"Quartisis, Llc - Precision Manufacturing",Minnesota,Engineering Manager,Manufacturing - Precision Components,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Radius Track,Minnesota,Vice President,Manufacturing - Construction Products,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Railway Equipment Company,Minnesota,Mechanical Engineer,Manufacturing - Railroad Equipment,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Raytheon Technologies,Minnesota,Software Engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems."
Raytheon Technologies,Minnesota,Finance Operations Manager,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Raytheon Technologies,Minnesota,Manufacturing Engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Raytheon Technologies,Minnesota,Product Quality Engineer,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Raytheon Technologies,Wisconsin,Value Stream Leader,Manufacturing - Defense & Aerospace,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Rb Jones,Minnesota,Catastrophe Modeler,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Red Lake,Minnesota,Chief Executive Officer,Government - Tribal,6. Government & Public Service,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes."
Reed Behavioral Health,Minnesota,Program Therapist,Healthcare - Behavioral Health,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
REI,Colorado,Marketing Program Specialist,Retail - Outdoor Recreation Equipment,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
REI,Minnesota,Sales Associate,Retail - Outdoor Recreation Equipment,8. Retail & Consumer Products,"Assists customers in retail or business settings, processes transactions, and meets sales targets."
Relate Counseling Center,Minnesota,Practicum Therapist,Healthcare - Counseling,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Relate Counseling Center,Minnesota,Mental Health Therapist,Healthcare - Counseling,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Relievant Medsystems,Minnesota,Finance Manager,Healthcare - Medical Devices,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Resiliency and Health Institute,Minnesota,Mental Health Practitioner,Healthcare - Wellness,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Resilinc Corporation,Minnesota,Customer Success Advocate,Technology - Supply Chain Risk,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Revo Brand Group,Minnesota,Accountant,Marketing - Branding Agency,7. Professional Services & Consulting,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
Rfa Engineering,Minnesota,Embedded Systems Design Engineer,Engineering - Electrical,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Robbinsdale Indendent School District 281,Minnesota,Talent Development Specialist,Education - K-12 Public School,5. Education & Academia,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Tiffany's Sports Lounge,Illinois,Host/Hostess,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Rockwell Automation,Wisconsin,Software Engineer,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems."
Rogers Behavioral Health,Minnesota,Case Specialist,Healthcare - Behavioral Health,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
RoRe's Boutique,Minnesota,Investor Relations Coordinator,Retail - Boutique,8. Retail & Consumer Products,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Rosenbauer Motors,Minnesota,Mechanical Engineer,Manufacturing - Fire Trucks,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Roseville,Minnesota,Emergency Room Technician,Government - Municipal,6. Government & Public Service,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Roseville,Minnesota,Nursing,Government - Municipal,6. Government & Public Service,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being."
Roth Nesbet Agencies,Minnesota,Insurance Agent,Financial Services - Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Royal Bank of Canada,Minnesota,Corporate Marketing Coordinator,Financial Services - Banking,3. Financial Services & Insurance,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Royal Bank of Canada,,Lending Specialist,Financial Services - Banking,3. Financial Services & Insurance,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Royal Bank of Canada,Minnesota,Private Client Group Intern,Financial Services - Banking,3. Financial Services & Insurance,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Royal Bank of Canada,Minnesota,Financial Advisor,Financial Services - Banking,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Royal Bank of Canada,Minnesota,Fixed Income Associate,Financial Services - Banking,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Royal Bank of Canada,Minnesota,Business Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
RSM,Minnesota,Assurance Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
RSM,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
RSM,Minnesota,Technology Risk Analyst,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
RSM,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
RSM,Minnesota,Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.
RSM,Minnesota,Talent Business Partner,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
RSM,Minnesota,Learning and Development,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
RSM,Colorado,Compliance Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Run N Fun,Minnesota,Sales Associate,Retail - Running & Fitness,8. Retail & Consumer Products,"Assists customers in retail or business settings, processes transactions, and meets sales targets."
Rust Consulting,Minnesota,Project Manager,Professional Services - Legal Administration,7. Professional Services & Consulting,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Ruttger's Bay Lake Resort,Minnesota,Wait Staff,Hospitality - Resort,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Saint Bartholomew Catholic Church,Minnesota,Chief Evangelist,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Saint Elizabeth Ann Seton,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Saint Joseph School Rosemount,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Saint Paul College,Minnesota,Executive Assistant,Education - Community College,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Saint Paul Public Schools,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Saint Paul Public Schools,,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Sakana Sushi & Asian Bistro,Minnesota,Host/Hostess,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sanofi,Minnesota,Communications and Public Affairs Manager,Healthcare - Pharmaceuticals,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Savannah River Nuclear Solutions,South Carolina,Associate Engineering Manager,Energy - Nuclear,9. Energy & Utilities,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Schadegg Mechanical,Minnesota,Project Engineer,Construction - Mechanical,"10. Construction, Engineering & Real Estate","Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
School,Minnesota,Behavior Analyst,Education,5. Education & Academia,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Schwan's Company,Minnesota,SAP Functional Analyst,Manufacturing - Frozen Food,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Schwan's Company,Minnesota,Trade Coordinator,Manufacturing - Frozen Food,4. Manufacturing & Industrial,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Seagate Technology,Minnesota,Technical Staff Engineer,Manufacturing - Data Storage,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Seagate Technology,Minnesota,Equipment Engineering Manager,Manufacturing - Data Storage,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Seagate Technology,California,Administrator,Manufacturing - Data Storage,4. Manufacturing & Industrial,"Manages systems, processes, and organizational operations to ensure smooth functioning and continuous improvement."
Seasonal Specialties,Minnesota,Product Development Assistant,Retail - Holiday Decor,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Secondhand Hounds,Minnesota,Community Volunteer,Nonprofit - Animal Rescue,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Securian Financial,Minnesota,Financial Planning and Analysis Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Securian Financial,Minnesota,Data Management Analyst,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Securian Financial,Minnesota,Solutions Marketing Manager,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Securian Financial,Minnesota,Competitive Intelligence Manager,Financial Services - Insurance & Wealth,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Self-Employed,Minnesota,Owner/Operator,Self-Employed,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Service Industry,Minnesota,Bartender,Hospitality - Service Industry,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Set the Line Podcast,Minnesota,Podcast Host,Media - Podcast,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Seton Education Partners,New York,Teaching Fellow,Education - Nonprofit,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Seton Hill University,Pennsylvania,Field Director,Education - University,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Sezzle,Minnesota,Software Engineer,Technology - Fintech / Buy Now Pay Later,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Shakopee Mdewakanton Sioux Community Gaming Enterprise,Minnesota,Compliance Coordinator,Hospitality - Casino,8. Retail & Consumer Products,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Sherburne County,Minnesota,Child Support Officer,Government - County,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sherwin-Williams,Minnesota,Chemist,Manufacturing - Paints & Coatings,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sherwin-Williams,Minnesota,Chemist,Manufacturing - Paints & Coatings,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Shipt,Minnesota,Shipt Shopper,Technology - Delivery Platform,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Shoreview Community Center,Minnesota,Pool Manager,Government - Municipal Recreation,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Short Elliot Hendrickson,Minnesota,Electrical Designer,Engineering - Civil & Environmental,"10. Construction, Engineering & Real Estate","Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping."
Shutterfly,Minnesota,Digital Marketing Strategist,Technology - Online Photo Services,1. Technology & Software,"Promotes products and services through targeted campaigns, compelling content, and data-informed marketing strategies."
Singerlewak Llp,Minnesota,Tax Advisor,Financial Services - Accounting,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Slalom Consulting,Minnesota,Consultant,Professional Services - Technology Consulting,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Smiths Medical,Minnesota,Software Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Designs, develops, tests, and maintains software applications and systems."
Snowflake Computing,Minnesota,Sales Development Representative,Technology - Cloud Data Platform,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach."
Solarpod Concentrators Limited,Minnesota,Engineer,Energy - Solar,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
South Saint Paul Public School,Minnesota,Cultural Liaison,Education - K-12 Public School,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
South Washington County School District,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
South Washington County School District,Minnesota,School Social Worker,Education - K-12 Public School,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Southwest Airlines,Minnesota,Operations Scheduler,Transportation - Airlines,7. Professional Services & Consulting,"Streamlines day-to-day business processes, identifying bottlenecks and implementing improvements to boost efficiency."
Sparq,Minnesota,Full Stack Developer,Technology - IT Consulting,1. Technology & Software,"Builds, codes, and deploys software applications or systems, translating requirements into functional, reliable solutions."
Sportsbiz,Minnesota,Marketing Associate,Entertainment - Sports Marketing,8. Retail & Consumer Products,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Spring Branch Isd,Texas,Volleyball Coach,Education - K-12 Public School,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Spring Lake Park Schools,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Sprout Social,Minnesota,Analytics Engineer,Technology - Social Media Management,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
SPS Commerce,Minnesota,Associate Consultant,Technology - Supply Chain Software,1. Technology & Software,"Provides analysis and recommendations to clients on business strategy, operations, or technology."
SPS Commerce,Minnesota,Account Executive,Technology - Supply Chain Software,1. Technology & Software,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes."
Squire,Texas,Onboarding Specialist,Technology - Barber Shop Software,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
SS&C Technologies,Minnesota,Financial Operations Analyst,Technology - Financial Services Software,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
St Cloud Va Health Care System,Minnesota,Psychologist,Healthcare - VA Hospital,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
St Croix Catholic School,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
St Joseph School,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
St Michael-Albertville Middle School East,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
St Odilia School,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
St Paul Public Schools,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Standard Parking,Minnesota,Valet Attendant,Transportation - Parking Management,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Standpoint,Minnesota,Development and Communications Manager,Nonprofit - Domestic Violence Services,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Starkey Hearing Foundation,Minnesota,Software Engineer,Healthcare - Hearing Aids / Nonprofit,2. Healthcare & Medical,"Designs, develops, tests, and maintains software applications and systems."
State of Minnesota,Minnesota,Corrections Officer,Government - State,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
State of Minnesota,Minnesota,Bridge Engineer,Government - State,6. Government & Public Service,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
State of Minnesota,Minnesota,Staff Identity Management Engineer,Government - State,6. Government & Public Service,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
State of Minnesota,Minnesota,Data Analyst,Government - State,6. Government & Public Service,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
Stillwater Asset Management,Minnesota,Investment Analyst,Financial Services - Asset Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Stillwater Asset Management,Minnesota,Investment Analyst,Financial Services - Asset Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
