Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
US Bank,Minnesota,,Financial Services - Banking,3. Financial Services & Insurance,
Va Medical Center,Minnesota,Social Worker,Healthcare - VA Hospital,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Valbridge Property Advisors,Minnesota,Appraisal Analyst,Real Estate - Appraisal,"10. Construction, Engineering & Real Estate",A professional analytical role focused on examining data and providing insights to support decisions.
Valley Medical,Minnesota,Medical Assistant,Healthcare - Medical Practice,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Valtinson Financial Group,Minnesota,Tax Associate,Financial Services - Insurance,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Vanda Counseling and Psycholog,Minnesota,Psychotherapist,Healthcare - Counseling,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Vector Marketing,Minnesota,Sales Representative,Professional Services,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
Veritas Technologies,Minnesota,Software Engineer,Technology - Data Management,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
Villages of Lonsdale,Minnesota,Personal Care Assistant,Real Estate - Property Management,"10. Construction, Engineering & Real Estate","A professional support role helping with administrative tasks, scheduling, and organizational duties."
Viracon,Minnesota,Engineering Manager,Manufacturing - Architectural Glass,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Vita Group Limited,Minnesota,Engineer,Technology - Telecom Retail,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Voyage Wealth Architects,Minnesota,Financial Planning Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Vp Groundforce,Minnesota,,Construction - Ground Engineering,"10. Construction, Engineering & Real Estate",
Waconia Public Schools,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Wagner College,New York,Professor,Education - University,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Walker Methodist,Minnesota,Resident Aide,Nonprofit - Senior Living,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
"Walleye Capital Partners, LP",Minnesota,Compliance Analyst,Financial Services - Investment Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Walmart,Minnesota,Cashier,Retail - Mass Merchandise,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Walmart,Minnesota,,Retail - Mass Merchandise,8. Retail & Consumer Products,
Wartsila,Minnesota,Solutions Engineer,Manufacturing - Marine & Energy Equipment,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Washburn Center For Children,Minnesota,Day Treatment Therapist,Nonprofit - Children's Mental Health,6. Government & Public Service,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Waukee Community School District,Iowa,Vocal Music Director,Education - K-12 Public School,5. Education & Academia,A professional senior leadership role setting strategy and overseeing departments or major functions.
Wavemed,Minnesota,Clinical Research Associate,Healthcare - Medical Devices,2. Healthcare & Medical,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Wayzata Public Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
WCCO-TV,Minnesota,Digital Content Producer,Media - Television News,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Wells Fargo,Minnesota,Data Engineer,Financial Services - Banking,3. Financial Services & Insurance,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis."
Wells Fargo,Minnesota,Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making."
Wells Fargo,Minnesota,Financial Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Wells Fargo,Minnesota,Product Manager,Financial Services - Banking,3. Financial Services & Insurance,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products."
Wells Fargo,Minnesota,Lead Business Consultant,Financial Services - Banking,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Wentzel Wealth Management,Minnesota,Owner,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
West St. Paul - Mendota Heights Independent School District 197,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Western National Insurance,Minnesota,Support Specialist,Financial Services - Insurance,3. Financial Services & Insurance,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Westwood Professional Services,Minnesota,Staff Design Engineer,Engineering - Civil & Surveying,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Westwood Professional Services,Minnesota,Transmission Engineer,Engineering - Civil & Surveying,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
When I Work,Minnesota,Full Stack Engineer,Technology - Workforce Management Software,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
White Bear Yacht Club,Minnesota,Lead Server,Hospitality - Country Club,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
White Cap International,Minnesota,Career Development Manager,Construction - Supplies Distribution,"10. Construction, Engineering & Real Estate","A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Wilderness Inquiry,Minnesota,Communications Coordinator,Nonprofit - Outdoor Education,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Williams,Michigan,Mechanical Engineer,Energy - Natural Gas Infrastructure,9. Energy & Utilities,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Willis Towers Watson,Minnesota,Benefits Analyst,Financial Services - Insurance & Advisory,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Wings Credit Union,Minnesota,Financial Advisor,Financial Services - Credit Union,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Winona Health,Minnesota,Director of Finance,Healthcare - Hospital,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
Wipfli,Minnesota,Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly and on time."
WMDT-TV,Maryland,Reporter,Media - Television News,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Women of Color On The Move,Minnesota,Web Developer,Nonprofit - Women's Empowerment,6. Government & Public Service,Builds and maintains websites and web applications using programming languages and frameworks.
Wr Medical Electronics,Minnesota,Neurophysiologist,Healthcare - Medical Devices,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Wsb Engineering Group,Minnesota,Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Wsb Engineering Group,Minnesota,Water Resources Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Wunderlich-Malec Engineering,Minnesota,Buyer,Manufacturing - Systems Engineering,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Xcel Energy,Minnesota,Electric Distribution Engineer,Energy - Electric Utility,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Xcel Energy,Minnesota,Launch Manager,Energy - Electric Utility,9. Energy & Utilities,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Xcel Energy,Minnesota,Management Engineer,Energy - Electric Utility,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Xcel Energy,Minnesota,Substation Engineer,Energy - Electric Utility,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Yahoo,Minnesota,Executive,Technology - Internet Media,1. Technology & Software,A professional senior leadership role with strategic decision-making authority.
Yellow Brick Road,Minnesota,Social Media Manager,Retail - Children's Toys,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
YMCA,Minnesota,Lifeguard,Nonprofit - Community & Fitness,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
YNTO Productions,Colorado,,Media - Video Production,8. Retail & Consumer Products,
Zeiss Industrial Metrology,Minnesota,Software Engineer,Manufacturing - Precision Measurement,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems."
,Minnesota,Digital Marketing Specialist,Unknown,Other,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
,Minnesota,Assistant Director,Unknown,Other,A professional senior leadership role setting strategy and overseeing departments or major functions.
,Minnesota,Director of Operations,Unknown,Other,A professional senior leadership role setting strategy and overseeing departments or major functions.
,Minnesota,Au Pair,Unknown,Other,A specialized professional role. (Description not available - requires further research.)
,Indiana,Salesperson,Unknown,Other,A specialized professional role. (Description not available - requires further research.)
Schaumburg Boomers,Illinois,Graphic Design and Media Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional temporary learning position for students or recent graduates to gain professional experience.
,Minnesota,Assistant to the Chair,Unknown,Other,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
,Wisconsin,Teacher,Unknown,Other,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
,Minnesota,Day Trader,Unknown,Other,A specialized professional role. (Description not available - requires further research.)
,Wisconsin,Video Editor,Unknown,Other,"A professional creates, reviews, or manages written content for various media."
,Minnesota,Business Intelligence Analyst,Unknown,Other,A professional analytical role focused on examining data and providing insights to support decisions.
3M,Minnesota,Research chemist,Diversified Technology & Manufacturing,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
3M,Wisconsin,Sr Operations Manager,Diversified Technology & Manufacturing,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
3M,Minnesota,Design Systems Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
3Play Media,Minnesota,,Technology - Media Accessibility,1. Technology & Software,
Abbott Northwestern Hospital,,,Healthcare - Hospital,2. Healthcare & Medical,
Adobe,Minnesota,Social & Creative Strategist,Technology - Software,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Aeon,Minnesota,Executive Vice President of Operations,Nonprofit - Affordable Housing,6. Government & Public Service,A professional senior leadership role with strategic decision-making authority.
AKF Group,Minnesota,Mechanical Engineer,Engineering - MEP,"10. Construction, Engineering & Real Estate","Designs, develops, and tests mechanical devices, tools, engines, and machines."
ALCIVIA,Wisconsin,Inside Sales and Business Intelligence Specialist,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
"Algorithm, Inc.",,Consultant,Technology - Software,1. Technology & Software,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Alliant Engineering,Minnesota,Graduate Transportation Engineer,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Allina Health,Minnesota,Registered Nurse,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Allina Health,Minnesota,RN,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Allina Health,Minnesota,Registered Nurse,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Allina Health,Minnesota,Manager,Healthcare - Hospital System,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Altafid,,Business Analyst,Financial Services - Fintech,3. Financial Services & Insurance,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
Amazon,Minnesota,Area Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
American Airlines,Minnesota,Flight Attendant,Transportation - Airlines,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Vice President technology,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Leadership Development Program,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Advisor In training,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Andersen Corp.,Minnesota,Finance Rotational Analyst,Manufacturing - Windows & Doors,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Anoka Hennepin School District,Minnesota,Special education teacher ABS,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Anoka Hennepin School District,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Avant Energy,Minnesota,Energy Program Specialist,Energy - Utility Services,9. Energy & Utilities,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Avtec,Minnesota,HR Generalist,Technology - Dispatch Communications,1. Technology & Software,"A professional manages employment-related functions including hiring, benefits, and employee relations."
Baker Tilly,Minnesota,Tax associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Banner Engineering,Minnesota,Production Control Analyst,Manufacturing - Industrial Sensors,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
BarnCo,Minnesota,Chief Enabler,Retail - Farm Supplies,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
BDO,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
Beecroft Marketing and Event ms,Minnesota,Web Manager,Marketing - Event Marketing,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Bellmont Partners,Minnesota,Account Coordinator,Marketing - PR Agency,7. Professional Services & Consulting,"A professional organizational role that manages logistics, schedules, and communication across teams."
Bill Zych,Minnesota,Assistant Student Librarian,Self-Employed,Other,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
BMS Group,Minnesota,Accounting and Claims Analyst,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Bolton and Menk,Minnesota,Civil Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Plans, designs, and oversees construction of infrastructure projects like roads, bridges, and buildings."
Bolton-Menk,Minnesota,Transportation Graduate Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Boston Scientific,Minnesota,Controls Engineer Supervisor,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Boston Scientific,Minnesota,Manufacturing Engineering Supervisor,Healthcare - Medical Devices,2. Healthcare & Medical,A professional oversees daily operations and manages a team of employees.
Braun Intertec,Wisconsin,Staff Engineer,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Braun Intertec,Minnesota,Staff Scientist,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate",A professional research role applying scientific methods to study phenomena and develop solutions.
CARE Counseling,Minnesota,Pre-Independently Licensed Therapist,Healthcare - Mental Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Central Internal Medicine Associates,Minnesota,Medical Assistant,Healthcare - Internal Medicine,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Chartwell Financial Advisory,Minnesota,Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making."
Children's Minnesota,Minnesota,Mental Health Specialist,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
CHS,Minnesota,Finance associate,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
CHS Inc.,Minnesota,Supply Planning Analyst,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
City of Cottage Grove,Minnesota,Graduate Engineer,Government - Municipal,6. Government & Public Service,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
CLA,Wisconsin,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Cleveland Browns,Ohio,Video and Content Creation Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional temporary learning position for students or recent graduates to gain professional experience.
Collins Aerospace,Minnesota,Embedded Software Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Collins Aerospace,Minnesota,Software Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems."
Community of Peace Academy,Minnesota,Middle School Special Education Teacher,Education - Charter School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Currie and Brown,Minnesota,Data Analysis,Professional Services - Construction Consulting,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Daikin Applied,Minnesota,Engineering Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Daikin Applied,Wisconsin,,Manufacturing - HVAC,4. Manufacturing & Industrial,
Daikin Applied,Minnesota,Supply Chain Analyst,Manufacturing - HVAC,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Deloitte,Minnesota,Actuarial Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Deloitte,Minnesota,Audit Assistance,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Democratic Farmer Labor Party,Minnesota,,Government - Political,6. Government & Public Service,
Dept. of Veteran Affairs,North Dakota,Social Worker,Government - Veterans Affairs,6. Government & Public Service,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Det-tronics,Minnesota,Principal Firmware Engineer,Manufacturing - Fire & Gas Detection,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Direct Clicks Inc.,Minnesota,Social Media Marketing Specalist,Marketing - Digital Marketing,7. Professional Services & Consulting,"A professional role focused on promoting products/services through campaigns, content, and strategy."
District 196,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Donaldson Company,Minnesota,Operations Development Associate,Manufacturing - Filtration Systems,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Eau Claire County Department of Human Services,Wisconsin,Social Worker,Government - County Social Services,6. Government & Public Service,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Ecolab,Minnesota,Associate Financial Analyst II,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Ecolab,Minnesota,Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Ecolab,Minnesota,Financial Analyst II,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Ecolab,Minnesota,Associate Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Ecolab,Minnesota,RD&E Data Scientist,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional research role applying scientific methods to study phenomena and develop solutions.
EcoShield,Minnesota,Sales Manager,Professional Services - Pest Control,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Emergency Care Consultants,Minnesota,Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,A professional documents information (typically medical encounters) in real-time for record-keeping.
Emerson,Minnesota,Strategic Price Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Emerson,Minnesota,Product Management Engineer,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Entrust,Minnesota,Product Management Specialist,Technology - Digital Security & Identity,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Epic,Wisconsin,Technical Solutions Engineer,Technology - Healthcare IT,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
EY,Minnesota,Staff Accountant (Central Tax),Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"A professional financial role preparing, examining, and managing financial records and tax documents."
EY,Minnesota,Audit/Assurance Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
"EVS, Inc.",Minnesota,Civil Staff Engineer,Professional Services - Environmental,7. Professional Services & Consulting,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
EY,Minnesota,Tax Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"A professional financial role preparing, examining, and managing financial records and tax documents."
Fairview,Minnesota,ED Nurse,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Fairview,Minnesota,RN,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Fairview,Minnesota,RN,Healthcare - Hospital System,2. Healthcare & Medical,"A professional healthcare role providing patient care, administering treatments, and coordinating with doctors."
Fidelity Investments,Minnesota,Investment Consultant,Financial Services - Investment Management,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Flare Advertising,Minnesota,Marketing Associate,Marketing - Advertising Agency,7. Professional Services & Consulting,A professional entry-to-mid level professional contributing to team objectives in their functional area.
ForeTees LLC,Minnesota,Junior Software Developer,Technology - Golf Tee Time Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Fraser,Minnesota,Behavioral Technician,Nonprofit - Disability Services,6. Government & Public Service,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Gateway Bank,Minnesota,Intern,Financial Services - Banking,3. Financial Services & Insurance,A professional temporary learning position for students or recent graduates to gain professional experience.
Grant Thornton,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities."
Great River Automation,Minnesota,Field Engineer,Manufacturing,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Great River Energy,Minnesota,Substation Engineer,Energy - Electric Utility,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Greenheck Group,Minnesota,Regional Sales Manager,Manufacturing - HVAC / Ventilation,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
GTN,Minnesota,Marketing Coordinator,Professional Services - International Tax,7. Professional Services & Consulting,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation."
Haf Equipment,Minnesota,Aftermarket Sales Representative,Retail - Equipment,8. Retail & Consumer Products,A professional role serving as a point of contact between an organization and its clients or partners.
Heartland Advisors Inc.,Minnesota,Research Analyst,Financial Services - Investment Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Hennepin County,Minnesota,Child protection,Government - County,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Hiawatha Valley Education District,Iowa,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Holmes Murphy,Colorado,Client Service Consultant,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Honeywell,Minnesota,Project Engineer,Manufacturing - Diversified Industrial,4. Manufacturing & Industrial,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines."
Hospital Pathology Associates,Minnesota,Pathology Aide,Healthcare - Pathology Lab,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Houlihan Lokey,Minnesota,Financial Analyst,Financial Services - Investment Banking,3. Financial Services & Insurance,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Hunt Electric Corporation,Minnesota,Regional Vice President,Construction - Electrical,"10. Construction, Engineering & Real Estate",A specialized professional role. (Description not available - requires further research.)
IBM,,,Technology - IT & Consulting,1. Technology & Software,
Infinite Campus,Minnesota,Technical Services Developer,Technology - Education Software,1. Technology & Software,A professional technical role focused on building and coding software applications or systems.
Innovize,Minnesota,Automation Engineer,Manufacturing - Medical Contract Manufacturing,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Isthmus Engineering,Minnesota,Design engineer,Engineering - Product Design,"10. Construction, Engineering & Real Estate",Creates detailed designs for products or components using CAD software and engineering principles.
Jamf,Minnesota,Services Operations Manager,Technology - Apple Device Management,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Jenny Gezella,Minnesota,Operations Manager,Self-Employed,Other,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Johnson Brothers,Minnesota,Sales Consultant,Manufacturing - Wine & Spirits Distribution,4. Manufacturing & Industrial,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Bank of America,North Carolina,Relationship Banker,Financial Services - Banking,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Kornferry,Minnesota,Associate Resource Manager,Professional Services - Executive Search,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Kraus Anderson Construction,Minnesota,MEP Systems Manager,Construction - General,"10. Construction, Engineering & Real Estate","A professional leadership role responsible for planning, organizing, and overseeing a team or function."
LB Carlson,Wisconsin,Staff Accountant,Financial Services - Accounting,3. Financial Services & Insurance,"A professional financial role preparing, examining, and managing financial records and tax documents."
Life Time,Minnesota,Personal Trainer,Health & Fitness - Fitness Clubs,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Lighthouse Psychological Services,Minnesota,Mental Health Practitioner,Healthcare - Psychology,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Live Nation Entertainment - Concerts Division,Tennessee,Regional Marketing Coordinator - Southeast,Entertainment - Live Events,8. Retail & Consumer Products,"A professional organizational role that manages logistics, schedules, and communication across teams."
Lockton,Minnesota,Associate Account Manager,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Lockton,Minnesota,Associate Account Manager,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Lockton,Minnesota,Associate account manager,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Lockton,,Associate Account Manager,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
